,FIPS,FIPS_NUM,COUNTY_NAME,STATE,UIC_NUMBER,UIC_GROUP,MEDICARE_ENROLL,POPESTIMATE,PHARMA_COUNT,ENERGY_RES,ENERGY_COM,ENERGY_IND,ENERGY_TTL,MEDICARE_RATE,RESIDENTIAL_RATE,MEDICARE_BIN,RESIDENTIAL_BIN,BIVARIATE_BIN
801,19025,19025,Calhoun County,IA,10,Nonmetro,2575,9927,2,47628.0,15840.0,35758.0,99226.0,0.259,0.48,C,3,C3
1309,26157,26157,Tuscola County,MI,4,Nonmetro,13803,53323,5,180040.0,149897.0,586666.0,916603.0,0.259,0.196,C,1,C1
1491,29017,29017,Bollinger County,MO,2,Metro,2732,10567,1,64050.0,12497.0,13246.0,89793.0,0.259,0.713,C,3,C3
1053,21121,21121,Knox County,KY,8,Nonmetro,7832,30193,4,173353.0,69193.0,152132.0,394678.0,0.259,0.439,C,2,C2
701,18009,18009,Blackford County,IN,6,Nonmetro,3136,12112,1,73264.0,25287.0,102805.0,201356.0,0.259,0.364,C,2,C2
2436,47017,47017,Carroll County,TN,6,Nonmetro,7352,28440,4,166403.0,99522.0,117609.0,383534.0,0.259,0.434,C,2,C2
2318,45005,45005,Allendale County,SC,6,Nonmetro,2081,8039,1,48611.0,26525.0,79806.0,154942.0,0.259,0.314,C,1,C1
2520,47185,47185,White County,TN,9,Nonmetro,7095,27351,3,129720.0,62468.0,73805.0,265993.0,0.259,0.488,C,3,C3
119,05017,5017,Chicot County,AR,9,Nonmetro,2647,10208,3,60549.0,32983.0,32612.0,126144.0,0.259,0.48,C,3,C3
2178,40095,40095,Marshall County,OK,6,Nonmetro,3967,15312,2,90953.0,46710.0,126081.0,263744.0,0.259,0.345,C,2,C2
2064,39043,39043,Erie County,OH,3,Nonmetro,19561,75622,9,333691.0,334572.0,254320.0,922583.0,0.259,0.362,C,2,C2
941,20107,20107,Linn County,KS,1,Metro,2487,9591,1,57795.0,29350.0,43839.0,130984.0,0.259,0.441,C,2,C2
1182,23011,23011,Kennebec County,ME,5,Nonmetro,32075,123642,13,338267.0,409460.0,48372.0,796099.0,0.259,0.425,C,2,C2
827,19077,19077,Guthrie County,IA,2,Metro,2756,10623,2,45971.0,26390.0,111455.0,183816.0,0.259,0.25,C,1,C1
20,01041,1041,Crenshaw County,AL,6,Nonmetro,3415,13194,0,76217.0,24504.0,43719.0,144440.0,0.259,0.528,C,3,C3
1922,37065,37065,Edgecombe County,NC,2,Metro,12606,48900,6,359043.0,173321.0,76592.0,608956.0,0.258,0.59,C,3,C3
2469,47083,47083,Houston County,TN,4,Nonmetro,2133,8283,0,51583.0,17125.0,4946.0,73654.0,0.258,0.7,C,3,C3
13,01027,1027,Clay County,AL,10,Nonmetro,3680,14236,3,80064.0,28316.0,222069.0,330449.0,0.258,0.242,C,1,C1
1510,29055,29055,Crawford County,MO,4,Nonmetro,5951,23056,4,129386.0,33668.0,117300.0,280354.0,0.258,0.462,C,3,C3
2751,48457,48457,Tyler County,TX,6,Nonmetro,5104,19798,1,128768.0,49785.0,43819.0,222372.0,0.258,0.579,C,3,C3
1614,30033,30033,Garfield County,MT,12,Nonmetro,303,1173,0,4839.0,5019.0,13498.0,23356.0,0.258,0.207,C,1,C1
1943,37107,37107,Lenoir County,NC,5,Nonmetro,14229,55122,5,386996.0,280021.0,204825.0,871842.0,0.258,0.444,C,3,C3
1975,37171,37171,Surry County,NC,5,Nonmetro,18393,71359,10,422679.0,325492.0,184889.0,933060.0,0.258,0.453,C,3,C3
1239,26017,26017,Bay County,MI,2,Metro,26787,103856,10,350699.0,372554.0,1422358.0,2145611.0,0.258,0.163,C,1,C1
2495,47135,47135,Perry County,TN,4,Nonmetro,2156,8366,0,46728.0,27046.0,67376.0,141150.0,0.258,0.331,C,2,C2
1294,26127,26127,Oceana County,MI,7,Nonmetro,6886,26659,2,87606.0,49517.0,117144.0,254267.0,0.258,0.345,C,2,C2
896,20017,20017,Chase County,KS,10,Nonmetro,663,2572,0,11618.0,6912.0,10582.0,29112.0,0.258,0.399,C,2,C2
2263,42039,42039,Crawford County,PA,5,Nonmetro,21662,83938,4,307628.0,187696.0,403112.0,898436.0,0.258,0.342,C,2,C2
1448,28095,28095,Monroe County,MS,9,Nonmetro,8806,34180,3,219305.0,185940.0,122611.0,527856.0,0.258,0.415,C,2,C2
513,13257,13257,Stephens County,GA,8,Nonmetro,6902,26784,6,128617.0,115423.0,118333.0,362373.0,0.258,0.355,C,2,C2
2718,48391,48391,Refugio County,TX,6,Nonmetro,1737,6741,0,42205.0,23257.0,77005.0,142467.0,0.258,0.296,C,1,C1
1172,22119,22119,Webster Parish,LA,2,Metro,9504,36967,3,215947.0,234420.0,1028019.0,1478386.0,0.257,0.146,C,1,C1
669,17149,17149,Pike County,IL,9,Nonmetro,3789,14739,1,73648.0,45213.0,52556.0,171417.0,0.257,0.43,C,2,C2
754,18115,18115,Ohio County,IN,1,Metro,1527,5940,2,33025.0,9903.0,2728.0,45656.0,0.257,0.723,C,3,C3
3021,54057,54057,Mineral County,WV,2,Metro,6928,26938,3,149560.0,250789.0,20983.0,421332.0,0.257,0.355,C,2,C2
2829,51019,51019,Bedford County,VA,2,Metro,20406,79462,4,474605.0,144123.0,73195.0,691923.0,0.257,0.686,C,3,C3
2629,48213,48213,Henderson County,TX,3,Nonmetro,21121,82150,9,478942.0,230888.0,188161.0,897991.0,0.257,0.533,C,3,C3
3012,54039,54039,Kanawha County,WV,2,Metro,46519,180745,31,1093023.0,1109459.0,599875.0,2802357.0,0.257,0.39,C,2,C2
2808,50005,50005,Caledonia County,VT,9,Nonmetro,7781,30233,3,80042.0,61657.0,217999.0,359698.0,0.257,0.223,C,1,C1
3006,54027,54027,Hampshire County,WV,2,Metro,5933,23093,3,132515.0,76943.0,8465.0,217923.0,0.257,0.608,C,3,C3
364,12089,12089,Nassau County,FL,1,Metro,23257,90352,14,441728.0,305419.0,67914.0,815061.0,0.257,0.542,C,3,C3
2548,48051,48051,Burleson County,TX,2,Metro,4535,17642,1,100692.0,51433.0,136608.0,288733.0,0.257,0.349,C,2,C2
656,17123,17123,Marshall County,IL,2,Metro,3016,11742,0,52138.0,30061.0,74685.0,156884.0,0.257,0.332,C,2,C2
2126,39167,39167,Washington County,OH,5,Nonmetro,15332,59771,8,285870.0,257822.0,1015761.0,1559453.0,0.257,0.183,C,1,C1
1096,21207,21207,Russell County,KY,10,Nonmetro,4624,17991,3,103215.0,52755.0,169666.0,325636.0,0.257,0.317,C,1,C1
1419,28037,28037,Franklin County,MS,10,Nonmetro,1971,7675,2,50946.0,9407.0,7425.0,67778.0,0.257,0.752,C,3,C3
1125,22025,22025,Catahoula Parish,LA,10,Nonmetro,2286,8906,2,59788.0,52267.0,26191.0,138246.0,0.257,0.432,C,2,C2
2120,39155,39155,Trumbull County,OH,2,Metro,51911,201977,15,865156.0,611289.0,1165053.0,2641498.0,0.257,0.328,C,2,C2
1836,36017,36017,Chenango County,NY,6,Nonmetro,12134,47220,2,84567.0,53089.0,266336.0,403992.0,0.257,0.209,C,1,C1
901,20027,20027,Clay County,KS,6,Nonmetro,2083,8117,1,37507.0,27253.0,21454.0,86214.0,0.257,0.435,C,2,C2
2250,42013,42013,Blair County,PA,2,Metro,31542,122822,4,450053.0,398860.0,564014.0,1412927.0,0.257,0.319,C,2,C2
1480,28159,28159,Winston County,MS,9,Nonmetro,4553,17714,1,103511.0,51563.0,547193.0,702267.0,0.257,0.147,C,1,C1
1845,36035,36035,Fulton County,NY,5,Nonmetro,13722,53324,4,106427.0,99559.0,145176.0,351162.0,0.257,0.303,C,1,C1
1543,29121,29121,Macon County,MO,9,Nonmetro,3912,15209,1,73560.0,33467.0,51430.0,158457.0,0.257,0.464,C,3,C3
1036,21087,21087,Green County,KY,7,Nonmetro,2850,11107,1,62616.0,34207.0,15579.0,112402.0,0.257,0.557,C,3,C3
2272,42057,42057,Fulton County,PA,7,Nonmetro,3744,14556,0,88031.0,28744.0,121194.0,237969.0,0.257,0.37,C,2,C2
2406,46091,46091,Marshall County,SD,10,Nonmetro,1102,4306,0,23343.0,22051.0,19207.0,64601.0,0.256,0.361,C,2,C2
2157,40053,40053,Grant County,OK,10,Nonmetro,1067,4169,0,28738.0,21026.0,32742.0,82506.0,0.256,0.348,C,2,C2
864,19151,19151,Pocahontas County,IA,10,Nonmetro,1812,7078,2,34645.0,16297.0,44679.0,95621.0,0.256,0.362,C,2,C2
3050,55005,55005,Barron County,WI,6,Nonmetro,11962,46711,5,173789.0,169269.0,239000.0,582058.0,0.256,0.299,C,1,C1
1287,26113,26113,Missaukee County,MI,8,Nonmetro,3850,15052,1,47271.0,25437.0,75726.0,148434.0,0.256,0.318,C,2,C2
2814,50017,50017,Orange County,VT,8,Nonmetro,7487,29277,2,83906.0,58978.0,17674.0,160558.0,0.256,0.523,C,3,C3
1875,36095,36095,Schoharie County,NY,2,Metro,7608,29714,1,101493.0,69921.0,32510.0,203924.0,0.256,0.498,C,3,C3
2401,46081,46081,Lawrence County,SD,5,Nonmetro,6603,25768,3,102305.0,151033.0,66125.0,319463.0,0.256,0.32,C,2,C2
1807,35023,35023,Hidalgo County,NM,9,Nonmetro,1070,4178,0,14196.0,17711.0,12781.0,44688.0,0.256,0.318,C,2,C2
617,17045,17045,Edgar County,IL,6,Nonmetro,4323,16866,2,83598.0,51539.0,76751.0,211888.0,0.256,0.395,C,2,C2
945,20115,20115,Marion County,KS,6,Nonmetro,3032,11823,2,53399.0,40763.0,65733.0,159895.0,0.256,0.334,C,2,C2
164,05107,5107,Phillips County,AR,3,Nonmetro,4248,16568,2,104360.0,68175.0,62850.0,235385.0,0.256,0.443,C,3,C3
1647,30099,30099,Teton County,MT,7,Nonmetro,1591,6226,0,21480.0,11892.0,35886.0,69258.0,0.256,0.31,C,1,C1
1552,29139,29139,Montgomery County,MO,4,Nonmetro,2897,11322,1,70909.0,49652.0,45116.0,165677.0,0.256,0.428,C,2,C2
677,17165,17165,Saline County,IL,6,Nonmetro,6094,23768,3,126459.0,120049.0,112496.0,359004.0,0.256,0.352,C,2,C2
1014,21043,21043,Carter County,KY,6,Nonmetro,6824,26627,5,166742.0,92736.0,63851.0,323329.0,0.256,0.516,C,3,C3
1736,31165,31165,Sioux County,NE,8,Nonmetro,290,1135,0,7878.0,494.0,13207.0,21579.0,0.256,0.365,C,2,C2
59,01119,1119,Sumter County,AL,6,Nonmetro,3165,12345,0,72632.0,35960.0,16851.0,125443.0,0.256,0.579,C,3,C3
93,02275,2275,Wrangell City and Borough,AK,12,Nonmetro,545,2127,0,6358.0,0.0,0.0,6358.0,0.256,1.0,C,3,C3
622,17055,17055,Franklin County,IL,6,Nonmetro,9671,37804,3,203595.0,152481.0,73571.0,429647.0,0.256,0.474,C,3,C3
2083,39081,39081,Jefferson County,OH,2,Metro,16732,65249,8,348019.0,187368.0,254449.0,789836.0,0.256,0.441,C,2,C2
3018,54051,54051,Marshall County,WV,2,Metro,7834,30591,4,171160.0,79105.0,280276.0,530541.0,0.256,0.323,C,2,C2
333,12029,12029,Dixie County,FL,7,Nonmetro,4292,16759,0,84007.0,23776.0,98725.0,206508.0,0.256,0.407,C,2,C2
1569,29173,29173,Ralls County,MO,8,Nonmetro,2640,10355,0,60646.0,17387.0,111822.0,189855.0,0.255,0.319,C,2,C2
2398,46075,46075,Jones County,SD,10,Nonmetro,234,917,0,4664.0,6127.0,4404.0,15195.0,0.255,0.307,C,1,C1
2159,40057,40057,Harmon County,OK,10,Nonmetro,635,2488,0,18100.0,15056.0,21259.0,54415.0,0.255,0.333,C,2,C2
2643,48241,48241,Jasper County,TX,6,Nonmetro,8412,32980,5,206213.0,201408.0,130109.0,537730.0,0.255,0.383,C,2,C2
2824,51009,51009,Amherst County,VA,2,Metro,7972,31307,2,188642.0,78115.0,104398.0,371155.0,0.255,0.508,C,3,C3
1584,29205,29205,Shelby County,MO,10,Nonmetro,1557,6103,0,32946.0,18422.0,13010.0,64378.0,0.255,0.512,C,3,C3
1367,27107,27107,Norman County,MN,7,Nonmetro,1640,6441,2,35257.0,34425.0,18032.0,87714.0,0.255,0.402,C,2,C2
208,06045,6045,Mendocino County,CA,5,Nonmetro,23357,91601,2,208480.0,207386.0,164245.0,580111.0,0.255,0.359,C,2,C2
1094,21203,21203,Rockcastle County,KY,8,Nonmetro,4091,16037,1,109221.0,22983.0,10749.0,142953.0,0.255,0.764,C,3,C3
1621,30047,30047,Lake County,MT,6,Nonmetro,7925,31134,3,171338.0,83984.0,55696.0,311018.0,0.255,0.551,C,3,C3
926,20077,20077,Harper County,KS,7,Nonmetro,1401,5485,1,24858.0,40341.0,60003.0,125202.0,0.255,0.199,C,1,C1
2485,47115,47115,Marion County,TN,2,Metro,7363,28837,3,171104.0,145705.0,114958.0,431767.0,0.255,0.396,C,2,C2
2183,40105,40105,Nowata County,OK,6,Nonmetro,2375,9320,1,61933.0,19977.0,40561.0,122471.0,0.255,0.506,C,3,C3
3034,54083,54083,Randolph County,WV,8,Nonmetro,7124,27932,5,126592.0,67182.0,910974.0,1104748.0,0.255,0.115,C,1,C1
632,17075,17075,Iroquois County,IL,4,Nonmetro,6896,27077,1,126350.0,77465.0,69926.0,273741.0,0.255,0.462,C,3,C3
351,12065,12065,Jefferson County,FL,2,Metro,3698,14510,1,85223.0,40401.0,13277.0,138901.0,0.255,0.614,C,3,C3
2256,42025,42025,Carbon County,PA,2,Metro,16481,64749,2,311235.0,1643943.0,105736.0,2060914.0,0.255,0.151,C,1,C1
681,17173,17173,Shelby County,IL,6,Nonmetro,5358,20990,2,104072.0,70883.0,62283.0,237238.0,0.255,0.439,C,2,C2
844,19111,19111,Lee County,IA,8,Nonmetro,8516,33555,5,146143.0,120505.0,1320105.0,1586753.0,0.254,0.092,C,1,C1
27,01055,1055,Etowah County,AL,2,Metro,26233,103436,21,566897.0,407684.0,583517.0,1558098.0,0.254,0.364,C,2,C2
2033,38087,38087,Slope County,ND,12,Nonmetro,179,706,0,3776.0,1147.0,17227.0,22150.0,0.254,0.17,C,1,C1
2285,42083,42083,McKean County,PA,8,Nonmetro,10265,40432,1,135794.0,93780.0,1377488.0,1607062.0,0.254,0.084,C,1,C1
2660,48275,48275,Knox County,TX,12,Nonmetro,853,3353,0,15823.0,16910.0,13881.0,46614.0,0.254,0.339,C,2,C2
2259,42031,42031,Clarion County,PA,4,Nonmetro,9442,37241,1,155164.0,102364.0,397938.0,655466.0,0.254,0.237,C,1,C1
821,19065,19065,Fayette County,IA,6,Nonmetro,4948,19509,4,77076.0,88405.0,75634.0,241115.0,0.254,0.32,C,2,C2
46,01093,1093,Marion County,AL,11,Nonmetro,7452,29341,5,183618.0,93690.0,306977.0,584285.0,0.254,0.314,C,1,C1
358,12079,12079,Madison County,FL,6,Nonmetro,4555,17968,1,96064.0,59926.0,57384.0,213374.0,0.254,0.45,C,3,C3
2386,46051,46051,Grant County,SD,9,Nonmetro,1922,7556,0,42218.0,121453.0,65426.0,229097.0,0.254,0.184,C,1,C1
2247,42007,42007,Beaver County,PA,1,Metro,42710,168215,5,669333.0,516333.0,767276.0,1952942.0,0.254,0.343,C,2,C2
2059,39033,39033,Crawford County,OH,3,Nonmetro,10681,42025,4,195954.0,113149.0,126348.0,435451.0,0.254,0.45,C,3,C3
8,01017,1017,Chambers County,AL,5,Nonmetro,8833,34772,6,207888.0,125283.0,172442.0,505613.0,0.254,0.411,C,2,C2
2292,42097,42097,Northumberland County,PA,5,Nonmetro,23280,91647,2,412416.0,351010.0,509152.0,1272578.0,0.254,0.324,C,2,C2
877,19177,19177,Van Buren County,IA,10,Nonmetro,1829,7203,1,29167.0,14488.0,43620.0,87275.0,0.254,0.334,C,2,C2
935,20095,20095,Kingman County,KS,2,Metro,1899,7470,1,33194.0,32023.0,105428.0,170645.0,0.254,0.195,C,1,C1
202,06033,6033,Lake County,CA,5,Nonmetro,17325,68163,2,166087.0,103400.0,63350.0,332837.0,0.254,0.499,C,3,C3
1005,21025,21025,Breathitt County,KY,12,Nonmetro,3490,13718,3,77624.0,32470.0,16312.0,126406.0,0.254,0.614,C,3,C3
1554,29143,29143,New Madrid County,MO,9,Nonmetro,4173,16434,2,107392.0,93757.0,40033.0,241182.0,0.254,0.445,C,3,C3
1517,29069,29069,Dunklin County,MO,8,Nonmetro,7184,28283,4,184187.0,145469.0,8422.0,338078.0,0.254,0.545,C,3,C3
789,19001,19001,Adair County,IA,7,Nonmetro,1904,7496,2,38564.0,28797.0,55233.0,122594.0,0.254,0.315,C,1,C1
1392,27157,27157,Wabasha County,MN,2,Metro,5427,21387,1,92580.0,37267.0,82444.0,212291.0,0.254,0.436,C,2,C2
1917,37055,37055,Dare County,NC,3,Nonmetro,9379,36915,5,208853.0,254316.0,2800.0,465969.0,0.254,0.448,C,3,C3
1405,28009,28009,Benton County,MS,1,Metro,1942,7646,0,45372.0,10161.0,10127.0,65660.0,0.254,0.691,C,3,C3
2160,40059,40059,Harper County,OK,10,Nonmetro,831,3272,2,13659.0,7996.0,14298.0,35953.0,0.254,0.38,C,2,C2
134,05047,5047,Franklin County,AR,6,Nonmetro,4341,17097,4,97029.0,35202.0,100744.0,232975.0,0.254,0.416,C,2,C2
709,18025,18025,Crawford County,IN,4,Nonmetro,2676,10526,1,60481.0,18962.0,18401.0,97844.0,0.254,0.618,C,3,C3
380,12121,12121,Suwannee County,FL,6,Nonmetro,11013,43474,5,243155.0,91329.0,183707.0,518191.0,0.253,0.469,C,3,C3
23,01047,1047,Dallas County,AL,5,Nonmetro,9740,38462,6,235731.0,157387.0,240398.0,633516.0,0.253,0.372,C,2,C2
1203,24023,24023,Garrett County,MD,7,Nonmetro,7280,28806,2,143085.0,77013.0,87197.0,307295.0,0.253,0.466,C,3,C3
2276,42065,42065,Jefferson County,PA,9,Nonmetro,11276,44492,1,149237.0,92551.0,430255.0,672043.0,0.253,0.222,C,1,C1
35,01071,1071,Jackson County,AL,5,Nonmetro,13318,52579,8,292690.0,292305.0,815874.0,1400869.0,0.253,0.209,C,1,C1
3116,55135,55135,Waupaca County,WI,6,Nonmetro,13103,51812,5,164629.0,146478.0,536815.0,847922.0,0.253,0.194,C,1,C1
1337,27047,27047,Freeborn County,MN,8,Nonmetro,7810,30895,2,127578.0,214568.0,150246.0,492392.0,0.253,0.259,C,1,C1
1201,24019,24019,Dorchester County,MD,5,Nonmetro,8242,32531,3,161803.0,116391.0,70949.0,349143.0,0.253,0.463,C,3,C3
2100,39115,39115,Morgan County,OH,4,Nonmetro,3487,13802,1,72806.0,23661.0,14366.0,110833.0,0.253,0.657,C,3,C3
2152,40043,40043,Dewey County,OK,10,Nonmetro,1136,4484,0,27744.0,19395.0,34226.0,81365.0,0.253,0.341,C,2,C2
2472,47089,47089,Jefferson County,TN,2,Metro,13845,54683,4,299259.0,161520.0,190959.0,651738.0,0.253,0.459,C,3,C3
1716,31125,31125,Nance County,NE,7,Nonmetro,856,3380,0,22609.0,54989.0,27101.0,104699.0,0.253,0.216,C,1,C1
957,20139,20139,Osage County,KS,2,Metro,3987,15766,2,75593.0,42800.0,28331.0,146724.0,0.253,0.515,C,3,C3
2153,40045,40045,Ellis County,OK,10,Nonmetro,947,3749,1,24440.0,21602.0,21809.0,67851.0,0.253,0.36,C,2,C2
1422,28043,28043,Grenada County,MS,8,Nonmetro,5477,21629,3,116181.0,87370.0,672066.0,875617.0,0.253,0.133,C,1,C1
822,19067,19067,Floyd County,IA,9,Nonmetro,3953,15627,2,75918.0,28418.0,123805.0,228141.0,0.253,0.333,C,2,C2
506,13243,13243,Randolph County,GA,6,Nonmetro,1625,6425,0,42617.0,25266.0,67772.0,135655.0,0.253,0.314,C,1,C1
1146,22067,22067,Morehouse Parish,LA,5,Nonmetro,6477,25629,3,150795.0,147050.0,120472.0,418317.0,0.253,0.36,C,2,C2
2148,40035,40035,Craig County,OK,6,Nonmetro,3564,14107,3,76488.0,58338.0,29033.0,163859.0,0.253,0.467,C,3,C3
375,12111,12111,St. Lucie County,FL,2,Metro,82989,329226,41,1570143.0,1099005.0,177286.0,2846434.0,0.252,0.552,C,3,C3
289,08089,8089,Otero County,CO,6,Nonmetro,4712,18690,3,63593.0,108044.0,79438.0,251075.0,0.252,0.253,C,1,C1
2052,39019,39019,Carroll County,OH,2,Metro,6737,26721,2,138400.0,46056.0,161537.0,345993.0,0.252,0.4,C,2,C2
1715,31123,31123,Morrill County,NE,10,Nonmetro,1148,4555,0,23264.0,8005.0,39022.0,70291.0,0.252,0.331,C,2,C2
2825,51011,51011,Appomattox County,VA,2,Metro,4056,16119,4,95121.0,54832.0,6599.0,156552.0,0.252,0.608,C,3,C3
2610,48175,48175,Goliad County,TX,2,Metro,1765,7012,0,41696.0,24261.0,47983.0,113940.0,0.252,0.366,C,2,C2
2577,48109,48109,Culberson County,TX,12,Nonmetro,552,2188,0,9251.0,9971.0,4060.0,23282.0,0.252,0.397,C,2,C2
1168,22111,22111,Union Parish,LA,2,Metro,5309,21107,3,122373.0,166846.0,157498.0,446717.0,0.252,0.274,C,1,C1
837,19097,19097,Jackson County,IA,6,Nonmetro,4907,19485,2,75285.0,72529.0,86370.0,234184.0,0.252,0.321,C,2,C2
1516,29067,29067,Douglas County,MO,6,Nonmetro,2919,11578,1,57704.0,17139.0,35729.0,110572.0,0.252,0.522,C,3,C3
902,20029,20029,Cloud County,KS,9,Nonmetro,2277,9032,3,37624.0,51430.0,19110.0,108164.0,0.252,0.348,C,2,C2
2702,48359,48359,Oldham County,TX,2,Metro,443,1758,0,7723.0,15658.0,12401.0,35782.0,0.252,0.216,C,1,C1
862,19147,19147,Palo Alto County,IA,9,Nonmetro,2268,8996,2,42174.0,16438.0,458620.0,517232.0,0.252,0.082,C,1,C1
2270,42053,42053,Forest County,PA,9,Nonmetro,1755,6973,0,15373.0,8554.0,52868.0,76795.0,0.252,0.2,C,1,C1
3041,54097,54097,Upshur County,WV,9,Nonmetro,6012,23816,3,102836.0,62438.0,179479.0,344753.0,0.252,0.298,C,1,C1
337,12037,12037,Franklin County,FL,6,Nonmetro,3143,12451,0,64124.0,41546.0,1455.0,107125.0,0.252,0.599,C,3,C3
2251,42015,42015,Bradford County,PA,5,Nonmetro,15127,59967,1,226263.0,126523.0,393311.0,746097.0,0.252,0.303,C,1,C1
1544,29123,29123,Madison County,MO,6,Nonmetro,3181,12626,2,64447.0,24580.0,11114.0,100141.0,0.252,0.644,C,3,C3
1893,37007,37007,Anson County,NC,4,Nonmetro,5548,22055,1,142973.0,74145.0,151376.0,368494.0,0.252,0.388,C,2,C2
2161,40061,40061,Haskell County,OK,6,Nonmetro,2907,11561,1,69131.0,32700.0,44702.0,146533.0,0.251,0.472,C,3,C3
1631,30067,30067,Park County,MT,9,Nonmetro,4311,17191,1,64639.0,62229.0,35022.0,161890.0,0.251,0.399,C,2,C2
1403,28005,28005,Amite County,MS,5,Nonmetro,3191,12720,0,79580.0,16961.0,42086.0,138627.0,0.251,0.574,C,3,C3
3096,55095,55095,Polk County,WI,4,Nonmetro,11267,44977,2,168248.0,136431.0,153659.0,458338.0,0.251,0.367,C,2,C2
1402,28003,28003,Alcorn County,MS,8,Nonmetro,8707,34740,6,221675.0,200644.0,116787.0,539106.0,0.251,0.411,C,2,C2
1155,22085,22085,Sabine Parish,LA,6,Nonmetro,5565,22155,2,142887.0,122240.0,247034.0,512161.0,0.251,0.279,C,1,C1
692,17195,17195,Whiteside County,IL,5,Nonmetro,13965,55691,4,216555.0,116590.0,560625.0,893770.0,0.251,0.242,C,1,C1
779,18165,18165,Vermillion County,IN,2,Metro,3874,15439,1,92288.0,34075.0,123559.0,249922.0,0.251,0.369,C,2,C2
2635,48225,48225,Houston County,TX,9,Nonmetro,5531,22066,2,118305.0,69986.0,76751.0,265042.0,0.251,0.446,C,3,C3
2092,39099,39099,Mahoning County,OH,2,Metro,57441,228614,19,918864.0,785497.0,660675.0,2365036.0,0.251,0.389,C,2,C2
1244,26027,26027,Cass County,MI,2,Metro,12969,51589,3,233272.0,88849.0,109001.0,431122.0,0.251,0.541,C,3,C3
672,17155,17155,Putnam County,IL,5,Nonmetro,1413,5637,1,25584.0,11211.0,80969.0,117764.0,0.251,0.217,C,1,C1
2856,51075,51075,Goochland County,VA,1,Metro,6215,24727,1,142402.0,162250.0,9921.0,314573.0,0.251,0.453,C,3,C3
1522,29079,29079,Grundy County,MO,11,Nonmetro,2458,9808,2,51259.0,43026.0,41417.0,135702.0,0.251,0.378,C,2,C2
1431,28061,28061,Jasper County,MS,8,Nonmetro,4111,16367,0,99193.0,37643.0,130664.0,267500.0,0.251,0.371,C,2,C2
2451,47047,47047,Fayette County,TN,1,Metro,10553,41990,3,258141.0,95260.0,81077.0,434478.0,0.251,0.594,C,3,C3
2198,40135,40135,Sequoyah County,OK,2,Metro,9872,39281,1,220592.0,83592.0,55852.0,360036.0,0.251,0.613,C,3,C3
1849,36043,36043,Herkimer County,NY,2,Metro,15073,60139,4,99171.0,82102.0,396860.0,578133.0,0.251,0.172,C,1,C1
117,05013,5013,Calhoun County,AR,8,Nonmetro,1188,4739,0,28721.0,7139.0,3729.0,39589.0,0.251,0.725,C,3,C3
2143,40025,40025,Cimarron County,OK,10,Nonmetro,576,2296,0,9002.0,39621.0,17219.0,65842.0,0.251,0.137,C,1,C1
166,05111,5111,Poinsett County,AR,2,Metro,5763,22965,7,127526.0,98465.0,55615.0,281606.0,0.251,0.453,C,3,C3
125,05029,5029,Conway County,AR,6,Nonmetro,5169,20715,2,112070.0,57218.0,174596.0,343884.0,0.25,0.326,C,2,C2
2346,45061,45061,Lee County,SC,6,Nonmetro,4127,16531,1,104070.0,40027.0,15827.0,159924.0,0.25,0.651,C,3,C3
2698,48351,48351,Newton County,TX,2,Metro,3051,12217,0,76244.0,16408.0,23541.0,116193.0,0.25,0.656,C,3,C3
1487,29009,29009,Barry County,MO,6,Nonmetro,8628,34534,7,161817.0,115409.0,484119.0,761345.0,0.25,0.213,C,1,C1
820,19063,19063,Emmet County,IA,9,Nonmetro,2343,9388,2,45172.0,32583.0,63385.0,141140.0,0.25,0.32,C,2,C2
2014,38049,38049,McHenry County,ND,8,Nonmetro,1337,5345,1,36773.0,38970.0,44593.0,120336.0,0.25,0.306,C,1,C1
2095,39105,39105,Meigs County,OH,6,Nonmetro,5543,22210,3,131284.0,35348.0,127290.0,293922.0,0.25,0.447,C,3,C3
1330,27033,27033,Cottonwood County,MN,9,Nonmetro,2876,11517,3,72311.0,49561.0,87335.0,209207.0,0.25,0.346,C,2,C2
946,20117,20117,Marshall County,KS,6,Nonmetro,2514,10038,1,47127.0,42712.0,46196.0,136035.0,0.25,0.346,C,2,C2
1413,28025,28025,Clay County,MS,9,Nonmetro,4661,18636,3,114901.0,77192.0,65365.0,257458.0,0.25,0.446,C,3,C3
1847,36039,36039,Greene County,NY,6,Nonmetro,11964,47931,4,74112.0,112629.0,28213.0,214954.0,0.25,0.345,C,2,C2
1193,24001,24001,Allegany County,MD,2,Metro,17002,68106,4,321313.0,238408.0,62420.0,622141.0,0.25,0.516,C,3,C3
1077,21169,21169,Metcalfe County,KY,8,Nonmetro,2567,10286,1,51570.0,45235.0,60346.0,157151.0,0.25,0.328,C,2,C2
2297,42107,42107,Schuylkill County,PA,5,Nonmetro,35769,143049,1,602896.0,484072.0,1513261.0,2600229.0,0.25,0.232,C,1,C1
2896,51161,51161,Roanoke County,VA,2,Metro,24214,96929,15,477552.0,317482.0,110411.0,905445.0,0.25,0.527,C,3,C3
2626,48207,48207,Haskell County,TX,6,Nonmetro,1352,5416,1,28475.0,34622.0,45305.0,108402.0,0.25,0.263,C,1,C1
2238,41061,41061,Union County,OR,8,Nonmetro,6515,26196,2,103807.0,114442.0,123288.0,341537.0,0.249,0.304,B,1,B1
